task,agent,try_num,bool_checkpoint1,bool_checkpoint2,bool_checkpoint3
1 ,proposed,1 ,1 ,1 ,1 
1 ,proposed,2 ,1 ,1 ,1 
1 ,proposed,3 ,1 ,1 ,1 
1 ,proposed,4 ,1 ,1 ,1 
1 ,proposed,5 ,1 ,1 ,1 
1 ,proposed,6 ,1 ,1 ,1 
1 ,proposed,7 ,1 ,1 ,1 
1 ,proposed,8 ,1 ,1 ,1 
1 ,proposed,9 ,1 ,1 ,1 
1 ,proposed,10 ,1 ,1 ,1 
1 ,single_agent,1 ,1 ,0 ,0 
1 ,single_agent,2 ,1 ,0 ,0 
1 ,single_agent,3 ,1 ,0 ,0 
1 ,single_agent,4 ,1 ,0 ,0 
1 ,single_agent,5 ,1 ,0 ,0 
1 ,single_agent,6 ,1 ,0 ,0 
1 ,single_agent,7 ,1 ,0 ,0 
1 ,single_agent,8 ,1 ,0 ,0 
1 ,single_agent,9 ,1 ,0 ,0 
1 ,single_agent,10 ,1 ,0 ,0 
1 ,multi_agent_base,1 ,0 ,0 ,0 
1 ,multi_agent_base,2 ,1 ,0 ,0 
1 ,multi_agent_base,3 ,0 ,0 ,0 
1 ,multi_agent_base,4 ,1 ,0 ,0 
1 ,multi_agent_base,5 ,0 ,0 ,0 
1 ,multi_agent_base,6 ,0 ,0 ,0 
1 ,multi_agent_base,7 ,1 ,1 ,0 
1 ,multi_agent_base,8 ,0 ,0 ,0 
1 ,multi_agent_base,9 ,0 ,0 ,0 
1 ,multi_agent_base,10 ,1 ,0 ,0 
2 ,proposed,1 ,1 ,1 ,1 
2 ,proposed,2 ,1 ,0 ,0 
2 ,proposed,3 ,1 ,1 ,1 
2 ,proposed,4 ,1 ,1 ,1 
2 ,proposed,5 ,1 ,1 ,1 
2 ,proposed,6 ,1 ,1 ,1 
2 ,proposed,7 ,1 ,1 ,1 
2 ,proposed,8 ,1 ,1 ,1 
2 ,proposed,9 ,1 ,1 ,1 
2 ,proposed,10 ,1 ,1 ,1 
2 ,single_agent,1 ,0 ,0 ,0 
2 ,single_agent,2 ,0 ,0 ,0 
2 ,single_agent,3 ,0 ,0 ,0 
2 ,single_agent,4 ,0 ,0 ,0 
2 ,single_agent,5 ,0 ,0 ,0 
2 ,single_agent,6 ,0 ,0 ,0 
2 ,single_agent,7 ,0 ,0 ,0 
2 ,single_agent,8 ,0 ,0 ,0 
2 ,single_agent,9 ,0 ,0 ,0 
2 ,single_agent,10 ,0 ,0 ,0 
2 ,multi_agent_base,1 ,1 ,0 ,0 
2 ,multi_agent_base,2 ,1 ,0 ,0 
2 ,multi_agent_base,3 ,0 ,0 ,0 
2 ,multi_agent_base,4 ,1 ,0 ,0 
2 ,multi_agent_base,5 ,0 ,0 ,0 
2 ,multi_agent_base,6 ,0 ,0 ,0 
2 ,multi_agent_base,7 ,1 ,1 ,1 
2 ,multi_agent_base,8 ,1 ,0 ,0 
2 ,multi_agent_base,9 ,1 ,0 ,0 
2 ,multi_agent_base,10 ,0 ,0 ,0 
3 ,proposed,1 ,1 ,1 ,1 
3 ,proposed,2 ,1 ,1 ,1 
3 ,proposed,3 ,1 ,1 ,1 
3 ,proposed,4 ,1 ,1 ,1 
3 ,proposed,5 ,1 ,1 ,1 
3 ,proposed,6 ,1 ,1 ,1 
3 ,proposed,7 ,1 ,1 ,0 
3 ,proposed,8 ,1 ,1 ,1 
3 ,proposed,9 ,1 ,1 ,1 
3 ,proposed,10 ,1 ,1 ,1 
3 ,single_agent,1 ,1 ,0 ,0 
3 ,single_agent,2 ,1 ,0 ,0 
3 ,single_agent,3 ,1 ,0 ,0 
3 ,single_agent,4 ,1 ,0 ,0 
3 ,single_agent,5 ,1 ,0 ,0 
3 ,single_agent,6 ,1 ,0 ,0 
3 ,single_agent,7 ,1 ,0 ,0 
3 ,single_agent,8 ,1 ,0 ,0 
3 ,single_agent,9 ,1 ,0 ,0 
3 ,single_agent,10 ,1 ,0 ,0 
3 ,multi_agent_base,1 ,1 ,0 ,0 
3 ,multi_agent_base,2 ,1 ,0 ,0 
3 ,multi_agent_base,3 ,1 ,0 ,0 
3 ,multi_agent_base,4 ,1 ,0 ,0 
3 ,multi_agent_base,5 ,1 ,0 ,0 
3 ,multi_agent_base,6 ,1 ,1 ,0 
3 ,multi_agent_base,7 ,1 ,0 ,0 
3 ,multi_agent_base,8 ,1 ,0 ,0 
3 ,multi_agent_base,9 ,1 ,0 ,0 
3 ,multi_agent_base,10 ,1 ,0 ,0 
4 ,proposed,1 ,1 ,1 ,1 
4 ,proposed,2 ,1 ,1 ,1 
4 ,proposed,3 ,1 ,1 ,1 
4 ,proposed,4 ,1 ,1 ,1 
4 ,proposed,5 ,1 ,1 ,1 
4 ,proposed,6 ,1 ,1 ,1 
4 ,proposed,7 ,1 ,1 ,1 
4 ,proposed,8 ,1 ,1 ,1 
4 ,proposed,9 ,1 ,1 ,1 
4 ,proposed,10 ,1 ,1 ,1 
4 ,single_agent,1 ,1 ,0 ,0 
4 ,single_agent,2 ,1 ,0 ,0 
4 ,single_agent,3 ,0 ,0 ,0 
4 ,single_agent,4 ,1 ,0 ,0 
4 ,single_agent,5 ,0 ,0 ,0 
4 ,single_agent,6 ,0 ,0 ,0 
4 ,single_agent,7 ,0 ,0 ,0 
4 ,single_agent,8 ,0 ,0 ,0 
4 ,single_agent,9 ,0 ,0 ,0 
4 ,single_agent,10 ,0 ,0 ,0 
4 ,multi_agent_base,1 ,1 ,0 ,0 
4 ,multi_agent_base,2 ,1 ,0 ,0 
4 ,multi_agent_base,3 ,1 ,0 ,0 
4 ,multi_agent_base,4 ,1 ,0 ,0 
4 ,multi_agent_base,5 ,1 ,0 ,0 
4 ,multi_agent_base,6 ,1 ,0 ,0 
4 ,multi_agent_base,7 ,1 ,0 ,0 
4 ,multi_agent_base,8 ,1 ,0 ,0 
4 ,multi_agent_base,9 ,0 ,0 ,0 
4 ,multi_agent_base,10 ,1 ,0 ,0 
